slug,port_name,country,type,url
Bodrum,Bodrum,Turkey,ocean,https://www.whatsinport.com/Bodrum.htm
Bohol,Bohol,Philippines,ocean,https://www.whatsinport.com/Bohol.htm
Bonaire,Bonaire,Bonaire,ocean,https://www.whatsinport.com/Bonaire.htm
Bonifacio-Corsica,Bonifacio Corsica,France,ocean,https://www.whatsinport.com/Bonifacio-Corsica.htm
Bonn-de,Bonn de,Germany,river,https://www.whatsinport.com/Bonn-de.htm
Bonne-Bay,Bonne Bay,Canada,ocean,https://www.whatsinport.com/Bonne-Bay.htm
Boppard-de,Boppard de,Germany,river,https://www.whatsinport.com/Boppard-de.htm
Boqueron,Boqueron,Puerto Rico,ocean,https://www.whatsinport.com/Boqueron.htm
Bora-Bora,Bora Bora,French Polynesia,ocean,https://www.whatsinport.com/Bora-Bora.htm
Boracay,Boracay,Philippines,ocean,https://www.whatsinport.com/Boracay.htm
Bordeaux,Bordeaux,France,ocean,https://www.whatsinport.com/Bordeaux.htm
Bordeaux-fr,Bordeaux fr,France,river,https://www.whatsinport.com/Bordeaux-fr.htm
Borgholm,Borgholm,Sweden,ocean,https://www.whatsinport.com/Borgholm.htm
Boston,Boston,USA,ocean,https://www.whatsinport.com/Boston.htm
Bounty-Bay,Bounty Bay,Pitcairn,ocean,https://www.whatsinport.com/Bounty-Bay.htm
Bozcaada,Bozcaada,Turkey,ocean,https://www.whatsinport.com/Bozcaada.htm
Braila-ro,Braila ro,Romania,river,https://www.whatsinport.com/Braila-ro.htm
Bratislava-sk,Bratislava sk,Slovakia,river,https://www.whatsinport.com/Bratislava-sk.htm
Braubach-de,Braubach de,Germany,river,https://www.whatsinport.com/Braubach-de.htm
Breisach_am_Rhein-de,Breisach am Rhein de,Germany,river,https://www.whatsinport.com/Breisach_am_Rhein-de.htm
Bremerhaven,Bremerhaven,Germany,ocean,https://www.whatsinport.com/Bremerhaven.htm
Brest,Brest,France,ocean,https://www.whatsinport.com/Brest.htm
Bridgetown,Bridgetown,Barbados,ocean,https://www.whatsinport.com/Bridgetown.htm
Brindisi,Brindisi,Italy,ocean,https://www.whatsinport.com/Brindisi.htm
Brisbane,Brisbane,Australia,ocean,https://www.whatsinport.com/Brisbane.htm
Bristol,Bristol,United Kingdom,ocean,https://www.whatsinport.com/Bristol.htm
Bronnoysund,Bronnoysund,Norway,ocean,https://www.whatsinport.com/Bronnoysund.htm
Broome,Broome,Australia,ocean,https://www.whatsinport.com/Broome.htm
Broughton-Island,Broughton Island,Canada,ocean,https://www.whatsinport.com/Broughton-Island.htm
Bucharest-ro,Bucharest ro,Romania,river,https://www.whatsinport.com/Bucharest-ro.htm
Budapest-hu,Budapest hu,Hungary,river,https://www.whatsinport.com/Budapest-hu.htm
Buenos-Aires,Buenos Aires,Argentina,ocean,https://www.whatsinport.com/Buenos-Aires.htm
Bunbury,Bunbury,Australia,ocean,https://www.whatsinport.com/Bunbury.htm
Burbank-us,Burbank us,USA,river,https://www.whatsinport.com/Burbank-us.htm
Burg_bei_Magdeburg-de,Burg bei Magdeburg de,Germany,river,https://www.whatsinport.com/Burg_bei_Magdeburg-de.htm
